x,y,vx,vy,xt,yt,vxt,vyt
-11.5259, -7.90053, -4.02696, -2.93763, -11.6304, -7.78849, -4.19066, -2.71349
-11.7091, -8.00622, -4.06021, -2.81441, -11.8413, -7.92208, -4.23932, -2.6273
-11.9059, -8.12102, -4.07992, -2.69358, -12.0546, -8.05131, -4.28682, -2.53924
-12.1232, -8.21089, -4.15967, -2.53273, -12.2702, -8.17609, -4.33309, -2.44932
-12.3467, -8.33619, -4.24635, -2.4675, -12.4881, -8.29633, -4.37802, -2.35756
-12.5521, -8.41652, -4.29383, -2.31538, -12.7082, -8.41193, -4.42156, -2.26399
-12.7623, -8.50203, -4.32135, -2.16405, -12.9304, -8.5228, -4.4636, -2.16863
-13.0365, -8.58781, -4.44844, -1.99284, -13.1547, -8.62886, -4.50407, -2.07151
-13.2823, -8.68594, -4.52926, -1.89777, -13.381, -8.73002, -4.54289, -1.97267
-13.5049, -8.73223, -4.57406, -1.70796, -13.6092, -8.82619, -4.57997, -1.87214
-13.7279, -8.77011, -4.59392, -1.48452, -13.8392, -8.91729, -4.61524, -1.76997
-13.9511, -8.88199, -4.61108, -1.4678, -14.0709, -9.00324, -4.64861, -1.6662
-14.1968, -8.9734, -4.6758, -1.43515, -14.3043, -9.08395, -4.68001, -1.56086
-14.4174, -9.08555, -4.67737, -1.43877, -14.5391, -9.15936, -4.70936, -1.45402
-14.6478, -9.15544, -4.69589, -1.33989, -14.7754, -9.22939, -4.73658, -1.34573
-14.9295, -9.15189, -4.79352, -1.0637, -15.013, -9.29397, -4.76161, -1.23603
-15.1847, -9.22605, -4.83357, -1.00553, -15.2517, -9.35302, -4.78436, -1.125
-15.4439, -9.34232, -4.86311, -1.04593, -15.4916, -9.40649, -4.80476, -1.01269
-15.6898, -9.37013, -4.87463, -0.863271, -15.7324, -9.45431, -4.82275, -0.899159
-15.9444, -9.45569, -4.89801, -0.855837, -15.9741, -9.49642, -4.83827, -0.784484
-16.1974, -9.46331, -4.91877, -0.65666, -16.2164, -9.53277, -4.85124, -0.668734
-16.4491, -9.4571, -4.94116, -0.464067, -16.4594, -9.5633, -4.8616, -0.55198
-16.6728, -9.45279, -4.91518, -0.285778, -16.7027, -9.58797, -4.8693, -0.434301
-16.9519, -9.44028, -4.95763, -0.0990037, -16.9464, -9.60673, -4.87427, -0.315773
-17.2019, -9.50171, -4.97381, -0.137569, -17.1903, -9.61954, -4.87646, -0.196479
-17.4607, -9.52074, -4.98777, -0.0567063, -17.4342, -9.62636, -4.87583, -0.0765024
-17.7185, -9.50929, -4.98798, 0.1028, -17.6781, -9.62717, -4.87232, 0.0440703
-17.9728, -9.47717, -4.98801, 0.272808, -17.9216, -9.62194, -4.86588, 0.165151
-18.2188, -9.43701, -4.96106, 0.469273, -18.1648, -9.61064, -4.85648, 0.286648
-18.427, -9.48062, -4.91509, 0.424899, -18.4074, -9.59325, -4.84408, 0.40847
-18.6641, -9.46685, -4.9064, 0.491785, -18.6493, -9.56977, -4.82864, 0.530522
-18.912, -9.46005, -4.90049, 0.555617, -18.8904, -9.54017, -4.81012, 0.652707
-19.1433, -9.4206, -4.87947, 0.662822, -19.1305, -9.50447, -4.78851, 0.774927
-19.3862, -9.30336, -4.84673, 0.945658, -19.3694, -9.46265, -4.76378, 0.897083
-19.6212, -9.2246, -4.79114, 1.15118, -19.6069, -9.41472, -4.73591, 1.01907
-19.8692, -9.10464, -4.75005, 1.40083, -19.8431, -9.36071, -4.70487, 1.1408
-20.1056, -9.00408, -4.70245, 1.58088, -20.0775, -9.30061, -4.67066, 1.26215
-20.2925, -9.12208, -4.67427, 1.28433, -20.3102, -9.23446, -4.63328, 1.38303
-20.532, -9.07783, -4.66485, 1.33089, -20.5409, -9.16227, -4.59271, 1.50334
-20.7519, -8.98495, -4.61402, 1.48099, -20.7696, -9.08409, -4.54895, 1.62296
-20.9932, -8.9026, -4.58427, 1.60695, -20.9959, -8.99994, -4.50202, 1.74179
-21.1918, -8.83349, -4.51718, 1.68255, -21.2198, -8.90987, -4.45191, 1.85972
-21.4249, -8.74303, -4.47491, 1.80907, -21.4412, -8.81393, -4.39865, 1.97666
-21.6222, -8.71543, -4.4256, 1.78199, -21.6597, -8.71217, -4.34224, 2.0925
-21.8162, -8.56389, -4.28033, 2.06595, -21.8754, -8.60465, -4.2827, 2.20712
-22.0196, -8.49018, -4.22941, 2.11255, -22.0881, -8.49143, -4.22007, 2.32043
-22.2295, -8.37946, -4.1921, 2.19981, -22.2975, -8.37258, -4.15437, 2.43232
-22.4569, -8.28838, -4.17036, 2.25885, -22.5035, -8.24817, -4.08564, 2.5427
-22.6502, -8.16593, -4.08045, 2.38994, -22.7061, -8.11829, -4.01391, 2.65145
-22.8755, -7.94229, -3.99566, 2.6797, -22.9049, -7.98301, -3.93923, 2.75848
-23.0666, -7.79007, -3.85548, 2.86729, -23.1, -7.84243, -3.86163, 2.8637
-23.2888, -7.62185, -3.7986, 3.01554, -23.2911, -7.69663, -3.78118, 2.967
-23.4883, -7.48371, -3.77913, 3.05146, -23.4781, -7.54572, -3.69792, 3.06828
-23.6557, -7.33744, -3.67559, 3.13821, -23.6609, -7.3898, -3.61191, 3.16746
-23.8458, -7.17924, -3.61843, 3.21808, -23.8393, -7.22897, -3.52321, 3.26445
-24.0117, -7.07811, -3.55017, 3.20791, -24.0132, -7.06336, -3.43189, 3.35916
-24.1787, -6.89568, -3.42786, 3.34632, -24.1825, -6.89307, -3.33801, 3.45149
-24.3344, -6.65385, -3.27707, 3.55603, -24.347, -6.71823, -3.24166, 3.54138
-24.5015, -6.47745, -3.15873, 3.66144, -24.5066, -6.53896, -3.14289, 3.62873
-24.6053, -6.32665, -3.0002, 3.7006, -24.6612, -6.35538, -3.0418, 3.71347
-24.7463, -6.13587, -2.88144, 3.79161, -24.8107, -6.16764, -2.93846, 3.79553
-24.9252, -5.93941, -2.823, 3.87778, -24.955, -5.97587, -2.83295, 3.87484
-25.0558, -5.73509, -2.70506, 3.96379, -25.094, -5.7802, -2.72537, 3.95132
-25.1895, -5.56048, -2.60823, 4.00149, -25.2276, -5.58079, -2.61581, 4.02492
-25.3428, -5.37517, -2.58789, 4.02008, -25.3556, -5.37777, -2.50435, 4.09557
-25.4842, -5.15712, -2.49719, 4.10671, -25.4779, -5.1713, -2.39109, 4.16322
-25.617, -4.9768, -2.47434, 4.10076, -25.5946, -4.96152, -2.27613, 4.22781
-25.7325, -4.79956, -2.38147, 4.11769, -25.7055, -4.7486, -2.15956, 4.2893
-25.8532, -4.59385, -2.30832, 4.16138, -25.8105, -4.53268, -2.04149, 4.34764
-25.9631, -4.35789, -2.19501, 4.25077, -25.9096, -4.31392, -1.92202, 4.40279
-26.0717, -4.13799, -2.00769, 4.3479, -26.0027, -4.0925, -1.80125, 4.45471
-26.1597, -3.86495, -1.85122, 4.47265, -26.0897, -3.86856, -1.67928, 4.50337
-26.2333, -3.62974, -1.61929, 4.56431, -26.1706, -3.64227, -1.55623, 4.54875
-26.2615, -3.36417, -1.38414, 4.65468, -26.2453, -3.41381, -1.4322, 4.59081
-26.3109, -3.12203, -1.17013, 4.71572, -26.3138, -3.18332, -1.30729, 4.62954
-26.3359, -2.88257, -0.967926, 4.75063, -26.376, -2.95098, -1.18162, 4.66493
-26.3944, -2.65542, -0.86086, 4.76376, -26.4319, -2.71697, -1.05529, 4.69696
-26.4731, -2.4864, -0.806122, 4.70937, -26.4815, -2.48143, -0.928411, 4.72562
-26.5286, -2.25117, -0.731134, 4.72573, -26.5247, -2.24456, -0.80109, 4.75091
-26.5794, -2.04838, -0.634358, 4.70644, -26.5616, -2.0065, -0.673434, 4.77284
-26.6105, -1.81084, -0.544434, 4.71853, -26.5921, -1.76744, -0.545553, 4.79141
